PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
86025730,UG,BS   ,Bachelor of Science,5/2/23,BSMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (SN)
94013710,UG,BS   ,Bachelor of Science,12/15/22,BSHIS,HISTORY
94016370,UG,BS   ,Bachelor of Science,8/29/22,BSMGT,Management
94031000,UG,BSW  ,Bachelor of Social Work,4/28/22,BSW,Social Work
94034990,UG,BS   ,Bachelor of Science,4/30/21,BSKEX,Kinesiology: Exercise Science
94038980,UG,BS   ,Bachelor of Science,5/3/22,BSPSY,Psychology
94040310,UG,BS   ,Bachelor of Science,5/3/22,BSLDR,Organizational Leadership
86039030,UG,BS   ,Bachelor of Science,8/23/21,BSPSO,PSYCHOLOGY (SN)
90046320,UG,AML  ,Assoc Min Leadership,5/3/22,APML,MINISTERIAL LEADERSHIP (PA-S)
90047650,UG,BS   ,Bachelor of Science,8/23/22,BSMLM,Ministerial Leadership: Christian Ministry (SN)
77508410,UG,BS   ,Bachelor of Science,12/15/22,BSBPL,Business & Professional Leadership (SN)
80797500,UG,BS   ,Bachelor of Science,5/3/22,BSMLP,Ministerial Ldrsp: Pastoral Care & Counseling
94076220,UG,BS   ,Bachelor of Science,6/27/23,BSPR,PUBLIC RELATIONS
94092180,UG,BA   ,Bachelor of Arts,4/27/23,BAWM,WORSHIP MINISTRIES
44158660,UG,BS   ,Bachelor of Science,5/4/18,BSINB,International Business
110971210,UG,BS   ,Bachelor of Science,12/7/23,BSKEX,Kinesiology: Exercise Science
111602960,UG,BBA  ,Bachelor of Busi Admin,11/21/22,BBA,Business Administration (SN)
107334990,UG,BS   ,Bachelor of Science,12/22/22,BSMGT,Management
111017760,UG,BS   ,Bachelor of Science,12/15/22,BSKEX,Kinesiology: Exercise Science
90102180,UG,AML  ,Assoc Min Leadership,12/10/21,AML,Ministerial Leadership (SN)
90103510,UG,AA   ,Associate of Arts,6/30/20,AAGN,General Education
90080900,UG,BS   ,Bachelor of Science,3/17/22,BSLDO,Organizational Leadership (SN)
77528360,UG,BS   ,Bachelor of Science,5/2/23,SDMAT,Secondary Mathematics
44259740,UG,BS   ,Bachelor of Science,6/30/19,BSPSO,PSYCHOLOGY (SN)
107342970,UG,BS   ,Bachelor of Science,4/29/22,BSGRD,Graphic Design
90269760,UG,BS   ,Bachelor of Science,12/7/23,BSBIC,Biochemistry
85233050,UG,AA   ,Associate of Arts,12/20/22,AAGN,General Education
90272420,UG,BS   ,Bachelor of Science,12/12/23,BSMP,MINISTRY: PASTORAL MINISTRY
90276410,UG,BSW  ,Bachelor of Social Work,5/2/23,BSW,Social Work
90076910,UG,BS   ,Bachelor of Science,8/23/22,BSMLM,Ministerial Leadership: Christian Ministry (SN)
90277740,UG,BS   ,Bachelor of Science,4/28/22,BSMGT,Management
77557620,UG,BS   ,Bachelor of Science,5/3/22,BSPSY,Psychology
77569590,UG,BA   ,Bachelor of Arts,4/24/20,BAENG,ENGLISH
77570920,UG,BS   ,Bachelor of Science,12/15/22,BSPSO,PSYCHOLOGY (SN)
94167990,UG,BS   ,Bachelor of Science,4/27/23,BSN,Nursing
74688810,UG,BS   ,Bachelor of Science,8/12/22,BSMGT,Management
90291040,UG,AA   ,Associate of Arts,12/12/23,AAGN,General Education
19207860,UG,BS   ,Bachelor of Science,10/22/21,BSMLM,Ministerial Leadership: Christian Ministry (SN)
77630770,UG,BS   ,Bachelor of Science,4/28/22,BSN,Nursing
77632100,UG,BS   ,Bachelor of Science,4/28/22,BSPR,PUBLIC RELATIONS
77638750,UG,BS   ,Bachelor of Science,4/28/22,BSCOM,COMMUNICATION
70249270,UG,BS   ,Bachelor of Science,12/15/22,BSKPT,Kinesiology: Pre-Physical Therapy
81007640,UG,AA   ,Associate of Arts,12/15/22,AAGN,General Education
48897450,UG,BS   ,Bachelor of Science,5/4/18,BSMNL,MINISTERIAL LEADERSHIP (SN)
37916970,UG,BS   ,Bachelor of Science,6/28/22,BPMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (PA-O)
77645400,UG,BS   ,Bachelor of Science,4/30/21,BSFIN,Finance
77650720,UG,AML  ,Assoc Min Leadership,7/31/20,AML,Ministerial Leadership (SN)
77654710,UG,BS   ,Bachelor of Science,4/24/20,BSHUS,Human Services (SN)
57760570,UG,BS   ,Bachelor of Science,4/26/19,BSPSY,Psychology
53767910,UG,BS   ,Bachelor of Science,5/4/18,BSACT,Accounting
54037900,UG,BS   ,Bachelor of Science,5/4/18,BSN,Nursing
54039230,UG,BS   ,Bachelor of Science,1/31/18,BSMGT,Management
77685300,UG,BS   ,Bachelor of Science,6/21/23,BSKPT,Kinesiology: Pre-Physical Therapy
75567940,UG,BS   ,Bachelor of Science,5/3/22,BSHUS,Human Services (SN)
77714560,UG,BS   ,Bachelor of Science,5/3/22,BSFLM,Film Production
45220,UG,BS   ,Bachelor of Science,4/26/19,BSMGT,Management
50901760,UG,BS   ,Bachelor of Science,8/31/18,BSFLM,Film Production
50903090,UG,BS   ,Bachelor of Science,4/26/19,BSBPL,Business & Professional Leadership (SN)
51850050,UG,BS   ,Bachelor of Science,3/31/18,BSSMB,SPORT MANAGEMENT: BUSINESS
77750470,UG,BS   ,Bachelor of Science,4/27/23,BSBIM,Biology: Medical Sciences
57438710,UG,BS   ,Bachelor of Science,12/10/20,BSKEX,Kinesiology: Exercise Science
57440040,UG,BS   ,Bachelor of Science,8/31/18,BSCOM,COMMUNICATION
57441370,UG,BS   ,Bachelor of Science,12/14/18,BSLDO,Organizational Leadership (SN)
51451050,UG,BS   ,Bachelor of Science,8/31/19,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
51453710,UG,BS   ,Bachelor of Science,12/13/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
51456370,UG,BS   ,Bachelor of Science,6/30/19,BSCRM,Criminal Justice
51481640,UG,BS   ,Bachelor of Science,4/26/19,BSMGT,Management
1014790,UG,BS   ,Bachelor of Science,4/26/19,BSLGS,Legal Studies
1022770,UG,BS   ,Bachelor of Science,12/14/18,BSMNL,MINISTERIAL LEADERSHIP (SN)
99110270,UG,AML  ,Assoc Min Leadership,10/27/21,AAMLO,MINISTERIAL LEADERSHIP (SN)
77767760,UG,BS   ,Bachelor of Science,12/7/23,BSCSD,Communication Sciences & Disorders
77785050,UG,AA   ,Associate of Arts,4/24/20,AAGN,General Education
48447910,UG,BS   ,Bachelor of Science,4/24/20,BSPMN,PRACTICAL MINISTRIES
48449240,UG,BS   ,Bachelor of Science,5/4/18,BSLGS,Legal Studies
47977090,UG,BS   ,Bachelor of Science,5/4/18,BSN,Nursing
57122170,UG,BA   ,Bachelor of Arts,12/14/18,BAICS,INTERCULTURAL STUDIES
57123500,UG,BM   ,Bachelor of Music,6/10/20,BMPP,MUSIC PERFORMANCE: PIANO
51884630,UG,BS   ,Bachelor of Science,12/14/18,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
51885960,UG,BS   ,Bachelor of Science,4/24/20,BSCTS,MANAGEMENT INFORMATION SYSTEMS
61061630,UG,BS   ,Bachelor of Science,4/30/21,BSCHM,CHURCH MUSIC
51889950,UG,BS   ,Bachelor of Science,5/4/18,BSMGT,Management
50595860,UG,BS   ,Bachelor of Science,5/4/18,BSSMC,SPORT MANAGEMENT: COACHING
